2026-06-30 18:34:04 STIMELA.xgc-reborn INFO: selecting recipe steps for (sub)recipe: [bold green]xgc-reborn[/bold green]
2026-06-30 18:34:04 STIMELA.xgc-reborn INFO: the following recipe steps have been selected for execution:
2026-06-30 18:34:04 STIMELA.xgc-reborn INFO:     [bold green]obsinfo-listobs obsinfo-plotants obsinfo-elevation1 obsinfo-elevation2 transform1-split_ms transform1-save-flags transform1-restore_flags transform1-listobs prepare-summary_flags prepare-delete1_flags prepare-save_flags prepare-swap_labels prepare-clearcal prepare-delete2_flags prepare-save_flags2 prepare-restore_flags delete-preflags save-preflags flag-autocorr flag-shadow flag-elevation flag-quack flag-zeros flag-extremes flag-edges summary-basicflags delete-basicflags save-basicflags restore-basicflags rfimask summary-rfimask delete-rfimask save-rfimask restore-rfimask rfiflags-1 rfiflags-2 summary-rfiflags inspect-rfiflags delete-rfiflags save-rfiflags restore-rfiflags flag-spw flag-scan flag-field flag-timerange flag-antenna summary-manualflags inspect-manualflags delete-manualflags save-manualflags restore-manualflags unflag-spw unflag-scan unflag-timerange unflag-antenna unflag-field delete-postflags save-postflags restore-postflags inspect-postflags list-postflags reset-postflags prim-delete1_flags prim-save_flags prim-set_model1 prim-set_model2 prim-K0 prim-G0 prim-B0 bpcal-kgb apply1-prim flag1-prim flag2-prim bpcal1-kgb prim-K1 prim-G1 prim-B1 prim1-plot_gains apply1-prim1 prim-summary_flags prim-delete2_flags prim-save2_flags prim-restore_flags prim-list_flags sec-delete_flags sec-save_flags sec-model sec-K0 sec-G0 phasecal apply1-sec flag1-sec flag2-sec phasecal1 image-gcal mask-gcal masked-gcal sec-K1 sec-G1 sec-F0 sec-plot_gains apply1-sec1 sec-summary_flags sec-delete2_flags sec-save2_flags sec-list_flags sec-restore_flags inspect-crosscal pol-delete_flags pol-save_flags apply2pol-1 pol-extend_flags pol-set_model pol-Gp0 pol-KCROSS pol-Xf pol-Xf1 flag1-Xf1 prim-Df0 flag-Df0 prim-Df1 flag-Df1 polcal polcal1 polcal2 pol-plot1_gains applycal-prim transfer-bpcal applycal-sec transfer-gcal applycal-pol transfer-xcal pol-summary_flags pol-delete2_flags pol-save2_flags pol-restore_flags inspect-pol image-bpcal mask-bpcal masked-bpcal image-xcal mask-xcal masked-xcal transform2-split_ms transform2-save_flags transform2-restore_flags transform2-listobs prepare2-summary_flags prepare2-delete_flags prepare2-save_flags prepare2-swap_labels prepare2-clearcal prepare2-delete2_flags prepare2-save_flags2 prepare2-restore_flags save2-preflags flag2-autocorr flag2-shadow flag2-elevation flag2-quack flag2-zeros flag2-extremes flag2-edges summary2-basicflags delete2-basicflags save2-basicflags restore2-basicflags rfimask2 summary2-rfimask delete2-rfimask save2-rfimask restore2-rfimask rfiflags2-1 rfiflags2-2 summary2-rfiflags inspect2-rfiflags delete2-rfiflags save2-rfiflags restore2-rfiflags flag2-spw flag2-scan flag2-field flag2-timerange flag2-antenna summary2-manualflags inspect2-manualflags delete2-manualflags save2-manualflags restore2-manualflags unflag2-spw unflag2-scan unflag2-timerange unflag2-antenna unflag2-field inspect2-postflags delete2-postflags save2-postflags list2-postflags restore2-postflags reset2-postflags applycal-target transfer-target applycal-inspect image mask masked assess upsample predict flag-delete flag-save selfcal1-phase selfcal1-delay selfcal1-complex selfcal1-diag_complex masked-1 assess-1 upsample-1 predict-1 flag1-delete flag1-save flag1-restore flag1-summary selfcal2-phase selfcal2-delay selfcal2-complex selfcal2-diag_complex masked-2 assess-2 upsample-2 predict-2 flag2-delete flag2-save flag2-restore flag2-summary selfcal3-phase selfcal3-delay selfcal3-complex selfcal3-diag_complex masked-3 assess-3 upsample-3 predict-3 flag3-delete flag3-save flag3-restore flag3-summary selfcal4-phase selfcal4-delay selfcal4-complex selfcal4-diag_complex masked-4 assess-4 upsample-4 predict-4 flag4-delete flag4-save flag4-restore flag4-summary selfcal5-phase selfcal5-delay selfcal5-complex selfcal5-diag_complex masked-5 assess-5 flag5-delete flag5-save flag5-list flag5-restore flag5-summary flag5-reset flagdelete-pol flagsave-pol image-pol mask-pol masked-pol assess-pol flagsummary-pol flagdelete2-pol flagsave2-pol flaglist-pol flagreset-pol[/bold green]
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO: ### validated inputs
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO: recipe 'xgc-reborn':
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.reset.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.restore.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.summary.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.autocorr.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.quack.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.quack.quackmode = beg
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.quack.quackinterval = 4.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.quack.quackincrement = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.shadow.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.shadow.tolerance = 0.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.elevation.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.elevation.upperlimit = 90.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.elevation.lowerlimit = 0.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.clip.zeros.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.clip.zeros.clipzeros = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.clip.extremes.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.clip.extremes.clipminmax = [0.0, 200.0]
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.clip.extremes.clipoutside = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.basic.edges.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfimask.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfimask.uvrange = 0~1000
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfimask.restore.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfimask.summary.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.column = DATA
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.restore.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.summary.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.inspect.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.flagger = tricolour
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.tfcrop.timecutoff = 4.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.tfcrop.freqcutoff = 3.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.tfcrop.correlation = 
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.tfcrop.usewindowstats = std
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.tfcrop.combinescans = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.calibrators.rfi.tfcrop.flagdimension = freqtime
